2001:240:1f1:6f::,2001:240:1f1:6f:ffff:ffff:ffff:ffff,JP
2001:240:1f1:70::,2001:240:1f1:70:ffff:ffff:ffff:ffff,AU
2001:240:1f1:71::,2001:240:1f1:71:ffff:ffff:ffff:ffff,JP
2001:240:1f1:72::,2001:240:1f1:73:ffff:ffff:ffff:ffff,AU
2001:240:1f1:74::,2001:240:1f1:74:ffff:ffff:ffff:ffff,JP
2001:240:1f1:75::,2001:240:1f1:7e:ffff:ffff:ffff:ffff,AU
2001:240:1f1:7f::,2001:240:1f1:7f:ffff:ffff:ffff:ffff,JP
2001:240:1f1:80::,2001:240:1f1:81:ffff:ffff:ffff:ffff,AU
2001:240:1f1:82::,2001:240:1f1:82:ffff:ffff:ffff:ffff,JP
2001:240:1f1:83::,2001:240:1f1:95:ffff:ffff:ffff:ffff,AU
2001:240:1f1:96::,2001:240:1f1:96:ffff:ffff:ffff:ffff,JP
2001:240:1f1:97::,2001:240:1f1:af:ffff:ffff:ffff:ffff,AU
2001:240:1f1:b0::,2001:240:1f1:b0:ffff:ffff:ffff:ffff,JP
2001:240:1f1:b1::,2001:240:1f2:10:ffff:ffff:ffff:ffff,AU
2001:240:1f2:11::,2001:240:1f2:11:ffff:ffff:ffff:ffff,JP
2001:240:1f2:12::,2001:240:1f2:21:ffff:ffff:ffff:ffff,AU
2001:240:1f2:22::,2001:240:1f2:22:ffff:ffff:ffff:ffff,JP
2001:240:1f2:23::,2001:240:1f2:23:ffff:ffff:ffff:ffff,AU
2001:240:1f2:24::,2001:240:1f2:24:ffff:ffff:ffff:ffff,JP
2001:240:1f2:25::,2001:240:1f2:28:ffff:ffff:ffff:ffff,AU
2001:240:1f2:29::,2001:240:1f2:29:ffff:ffff:ffff:ffff,JP
2001:240:1f2:2a::,2001:240:1f2:2b:ffff:ffff:ffff:ffff,AU
2001:240:1f2:2c::,2001:240:1f2:2c:ffff:ffff:ffff:ffff,JP
2001:240:1f2:2d::,2001:240:1f2:2e:ffff:ffff:ffff:ffff,AU
2001:240:1f2:2f::,2001:240:1f2:2f:ffff:ffff:ffff:ffff,JP
2001:240:1f2:30::,2001:240:1f2:32:ffff:ffff:ffff:ffff,AU
