42540533797999496809740146731420483584,42540533797999496846633634878839586815,AU
42540533797999496846633634878839586816,42540533797999496865080378952549138431,JP
42540533797999496865080378952549138432,42540533797999496901973867099968241663,AU
42540533797999496901973867099968241664,42540533797999496920420611173677793279,JP
42540533797999496920420611173677793280,42540533797999496975760843394806448127,AU
42540533797999496975760843394806448128,42540533797999496994207587468515999743,JP
42540533797999496994207587468515999744,42540533798000705311284647665275502591,AU
42540533798000705311284647665275502592,42540533798000705348178135812694605823,JP
42540533798000705348178135812694605824,42540533798000705421965112107532812287,AU
42540533798000705421965112107532812288,42540533798000705458858600254951915519,JP
42540533798000705458858600254951915520,42540533798000705477305344328661467135,AU
42540533798000705477305344328661467136,42540533798000705532645576549790121983,JP
42540533798000705532645576549790121984,42540533803596822579792628714508910591,AU
42540533803596822579792628714508910592,42540533803598031505612243343683616767,JP
42540533803598031505612243343683616768,42540533803604076134710316489557147647,AU
42540533803604076134710316489557147648,42540533803605285060529931118731853823,JP
42540533803605285060529931118731853824,42540533803611329689628004264605384703,AU
42540533803611329689628004264605384704,42540533803613747541267233522954797055,JP
42540533803613747541267233522954797056,42540533803622210022004535927177740287,AU
42540533803622210022004535927177740288,42540533803624627873643765185527152639,JP
42540533803624627873643765185527152640,42540533803634299280200682218924802047,AU
42540533803634299280200682218924802048,42540533803635508206020296848099508223,JP
42540533803635508206020296848099508224,42540533803640343909298755364798332927,AU
42540533803640343909298755364798332928,42540533803641552835118369993973039103,JP
42540533803641552835118369993973039104,42540533803647597464216443139846569983,AU
42540533803647597464216443139846569984,42540533803648806390036057769021276159,JP
42540533803648806390036057769021276160,42540533803651224241675287027370688511,AU
42540533803651224241675287027370688512,42540533803653642093314516285720100863,JP
42540533803653642093314516285720100864,42540533803654851019134130914894807039,AU
42540533803654851019134130914894807040,42540533803656059944953745544069513215,JP
42540533803656059944953745544069513216,42540533803657268870773360173244219391,AU
42540533803657268870773360173244219392,42540533803658477796592974802418925567,JP
42540533803658477796592974802418925568,42540533803687492016263725902611873791,AU
42540533803687492016263725902611873792,42540533803691118793722569790135992319,JP
42540533803691118793722569790135992320,42540533803692327719542184419310698495,AU
42540533803692327719542184419310698496,42540533803694745571181413677660110847,JP
42540533803694745571181413677660110848,42540533803704416977738330711057760255,AU
42540533803704416977738330711057760256,42540533803705625903557945340232466431,JP
42540533803705625903557945340232466432,42540533803711670532656018486105997311,AU
42540533803711670532656018486105997312,42540533803712879458475633115280703487,JP
42540533803712879458475633115280703488,42540533803722550865032550148678352895,AU
42540533803722550865032550148678352896,42540533803723759790852164777853059071,JP
42540533803723759790852164777853059072,42540533803726177642491394036202471423,AU
42540533803726177642491394036202471424,42540533803728595494130623294551883775,JP
42540533803728595494130623294551883776,42540533803729804419950237923726589951,AU
42540533803729804419950237923726589952,42540533803731013345769852552901296127,JP
42540533803731013345769852552901296128,42540533803737057974867925698774827007,AU
42540533803737057974867925698774827008,42540533803738266900687540327949533183,JP
42540533803738266900687540327949533184,42540533803739475826507154957124239359,AU
42540533803739475826507154957124239360,42540533803741893678146384215473651711,JP
42540533803741893678146384215473651712,42540533803744311529785613473823064063,AU
42540533803744311529785613473823064064,42540533803745520455605228102997770239,JP
42540533803745520455605228102997770240,42540533803751565084703301248871301119,AU
42540533803751565084703301248871301120,42540533803752774010522915878046007295,JP
42540533803752774010522915878046007296,42540533803764863268719062169793069055,AU
42540533803764863268719062169793069056,42540533803766072194538676798967775231,JP
42540533803766072194538676798967775232,42540533803768490046177906057317187583,AU
42540533803768490046177906057317187584,42540533803769698971997520686491893759,JP
42540533803769698971997520686491893760,42540533803773325749456364574016012287,AU
42540533803773325749456364574016012288,42540533803774534675275979203190718463,JP
42540533803774534675275979203190718464,42540533803775743601095593832365424639,AU
42540533803775743601095593832365424640,42540533803776952526915208461540130815,JP
42540533803776952526915208461540130816,42540533803779370378554437719889543167,AU
42540533803779370378554437719889543168,42540533803780579304374052349064249343,JP
42540533803780579304374052349064249344,42540533803791459636750584011636604927,AU
42540533803791459636750584011636604928,42540533803792668562570198640811311103,JP
42540533803792668562570198640811311104,42540533803798713191668271786684841983,AU
42540533803798713191668271786684841984,42540533803801131043307501045034254335,JP
42540533803801131043307501045034254336,42540533803812011375684032707606609919,AU
42540533803812011375684032707606609920,42540533803813220301503647336781316095,JP
42540533803813220301503647336781316096,42540533803814429227323261965956022271,AU
